Date,Source,Merchant,Site,Discount
2021-09-12,Rakuten,Bellhop,getbellhops.com,0.035
2021-09-12,Rakuten,Belly Sleep,bellysleep.com,0.03
2021-09-12,Rakuten,Belstaff,belstaff.com,0.035
2021-09-12,Rakuten,Belt Outlet,beltoutlet.com,0.05
2021-09-12,Rakuten,Ben Sherman,bensherman.com,0.025
2021-09-12,Rakuten,Ben Soleimani,bensoleimani.com,0.025
2021-09-12,Rakuten,Benefit Cosmetics,benefitcosmetics.com,0.02
2021-09-12,Rakuten,Bergdorf Goodman,bergdorfgoodman.com,0.1
2021-09-12,Rakuten,Beringer,beringer.com,0.035
2021-09-12,Rakuten,Besame Cosmetics,besamecosmetics.com,0.05
2021-09-12,Rakuten,Bespoke Post,bespokepost.com,12.5
2021-09-12,Rakuten,Best Bee Brothers,bestbeebrothers.com,0.05
2021-09-12,Rakuten,Best Bully Sticks,bestbullysticks.com,0.03
2021-09-12,Rakuten,Best Buy,bestbuy.com,0.01
2021-09-12,Rakuten,Best Choice Products,bestchoiceproducts.com,0.01
2021-09-12,Rakuten,Best Western Hotels & Resorts,bestwestern.com,0.06
2021-09-12,Rakuten,BestBuyEyeGlasses,bestbuyeyeglasses.com,0.05
2021-09-12,Rakuten,Betsey Johnson,betseyjohnson.com,0.015
2021-09-12,Rakuten,Better World Books,betterworldbooks.com,0.025
2021-09-12,Rakuten,Betterbraces.com,betterbraces.com,0.03
2021-09-12,Rakuten,Betteridge,betteridge.com,0.03
2021-09-12,Rakuten,Beverly Diamonds,beverlydiamonds.com,0.05
2021-09-12,Rakuten,Beyond Polish,beyondpolish.com,0.025
2021-09-12,Rakuten,Beyond Yoga,beyondyoga.com,0.02
2021-09-12,Rakuten,BH Cosmetics,bhcosmetics.com,0.03
2021-09-12,Rakuten,BHLDN,bhldn.com,0.01
2021-09-12,Rakuten,Big 5 Sporting Goods,big5sportinggoods.com,nan
2021-09-12,Rakuten,Big Bus Tours,bigbustours.com,0.05
2021-09-12,Rakuten,Bigstock,bigstock.com,0.02
2021-09-12,Rakuten,Bikini.com,bikini.com,0.05
2021-09-12,Rakuten,Bill Levkoff,billlevkoff.com,0.04
2021-09-12,Rakuten,Billabong,billabong.com,0.015
2021-09-12,Rakuten,Binxy Baby,binxybaby.com,0.035
